0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.0686291      1.17178	   -0.563989      0      1      0       1
0.93892      1.0449	   0.864051      0      1      0       1
0.642971      -0.529913	   1.30476      0      1      0       1
0.0686291      1.17178	   -0.563989      0      1      0       1
0.642971      -0.529913	   1.30476      0      1      0       1
-0.934525      -0.395569	   -1.22896      0      1      0       1
