0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.375      0.235	   0.175      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.375      0.235	   0.225      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.375      0.235	   0.175      0.8      0.8      0.8       1
-0.375      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.175      0.8      0.8      0.8       1
-0.425      -0.365	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
-0.375      0.235	   -0.175      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.375      0.235	   -0.225      0.8      0.8      0.8       1
-0.375      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.225      0.8      0.8      0.8       1
-0.425      -0.365	   -0.175      0.8      0.8      0.8       1
-0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
0.425      0.235	   -0.175      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.425      0.235	   -0.225      0.8      0.8      0.8       1
0.425      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.225      0.8      0.8      0.8       1
0.375      -0.365	   -0.175      0.8      0.8      0.8       1
0.375      0.235	   -0.175      0.8      0.8      0.8       1
-1.36719      1.20312	   0      0      1      0       1
0.914062      1.03906	   0      0      1      0       1
-0.515625      -1.36719	   0      0      1      0       1
